Identificación,En Lista Negra (S/N),Tiempo en Lista Negra (meses),Es Pre-pensionado (S/N),Pertenece a Institución Pública (S/N),Institución Pública,Condecoraciones (S/N),Tiene Hijos (S/N),Tiene Familiares en la Policía (S/N),Es Mayor de Edad (S/N),Observaciones Disciplinarias (S/N),Motivo de Observación Disciplinaria,Lugar de Nacimiento,Lugar de Residencia,Edad para Régimen de Prima Media (S/N),Fondo de Procedencia,Semanas Cotizadas
286594634,S,1,N,N,,,,,,,,Tunja,Pereira,N,Protección,572
441664384,N,0,N,N,,,,,,,,Quibdó,Leticia,N,Fondo Extranjero,758
907260961,S,6,N,N,,,,,,,,Tunja,Riohacha,N,Fondo Extranjero,728
844680146,S,6,N,N,,,,,,,,Soledad,Risaralda,S,Old Mutual,649
158450853,N,0,N,N,,,,,,,,Valledupar,Sincelejo,S,Old Mutual,241
783410225,S,6,S,S,Inpec,N,N,N,S,N,,Sincelejo,Barranquilla,S,Old Mutual,419
511489984,S,8,N,N,,,,,,,,Medellín,Pereira,S,Protección,112
462507401,S,7,N,S,Armada,S,N,N,S,N,,Leticia,Villavicencio,S,Colfondos,156
838913691,S,4,N,N,,,,,,,,Montería,Riohacha,N,Colfondos,888
779597511,S,4,S,S,MinSalud,N,N,N,S,S,"Non inventore voluptatibus. Animi quia dolorem autem magnam libero neque. Eos exercitationem sed expedita accusamus dolorum dolorum.
Veniam alias quos nam nostrum autem aliquam.",Cali,Pereira,N,Protección,910
200413448,S,6,S,N,,,,,,,,Soledad,Bogotá,S,Old Mutual,248
842601672,N,0,S,S,MinSalud,N,N,N,S,N,,Soledad,Risaralda,S,Colfondos,106
566500573,N,0,N,N,,,,,,,,Leticia,Santa Marta,N,Fondo Extranjero,703
911884569,N,0,S,N,,,,,,,,Cartagena,Cúcuta,N,Fondo Extranjero,836
704404025,N,0,S,N,,,,,,,,Cali,Montería,S,Porvenir,643
107414510,N,0,N,S,Armada,S,N,N,S,N,,Riohacha,Valledupar,N,Old Mutual,246
980003265,N,0,S,S,MinInterior,N,N,N,S,N,,Tunja,Barranquilla,S,Protección,644
328472421,S,7,S,N,,,,,,,,Risaralda,Tunja,S,Fondo Extranjero,990
676981843,S,9,N,N,,,,,,,,Soledad,Quibdó,S,Protección,392
867974669,S,8,S,S,Armada,N,N,N,S,N,,Neiva,Pereira,S,Protección,842
272729839,S,3,S,S,MinInterior,N,N,N,S,N,,Sogamoso,Yopal,N,Protección,904
116952346,S,9,S,S,MinInterior,N,N,N,S,S,Eaque adipisci atque nostrum. Soluta quisquam distinctio nisi amet maxime quaerat. Ab non rem odio ducimus veniam. Illum temporibus voluptate ab suscipit quos vel.,Bello,Ibagué,S,Old Mutual,108
386583591,N,0,S,N,,,,,,,,Pasto,Villavicencio,N,Protección,184
305170689,N,0,S,N,,,,,,,,San Andrés,Bogotá,S,Protección,660
147681097,S,8,N,S,Inpec,N,N,N,S,N,,Yopal,Leticia,N,Porvenir,184
182644515,N,0,S,N,,,,,,,,Armenia,Santa Marta,S,Old Mutual,995
437564778,S,9,N,N,,,,,,,,Pereira,Medellín,N,Fondo Extranjero,226
387023791,S,5,S,N,,,,,,,,Riohacha,Tunja,S,Fondo Extranjero,752
992532982,N,0,N,S,Inpec,N,N,N,S,N,,Manizales,Valledupar,N,Porvenir,166
613616124,S,3,N,S,MinSalud,N,N,N,S,S,"Ut laborum mollitia voluptates blanditiis illo. Illo delectus labore modi sunt. Excepturi dolores corrupti totam.
Repellendus quia voluptatem reprehenderit quae. Tempore vel dicta.",Soledad,Manizales,S,Colfondos,274
713847202,S,6,S,S,MinInterior,N,N,N,S,S,"Officiis repellat temporibus tempora minus modi qui. Consectetur dolores laudantium maiores quos.
Maxime adipisci voluptatem qui tempore voluptate. Aliquid earum nulla error facere.",Florencia,Bucaramanga,N,Fondo Extranjero,358
551903392,N,0,N,N,,,,,,,,Santa Marta,Medellín,S,Old Mutual,515
370591097,S,12,S,N,,,,,,,,Santa Marta,Villavicencio,S,Protección,946
601513330,N,0,S,S,Policía,N,N,S,S,N,,Cúcuta,Pereira,N,Protección,339
387674898,N,0,S,S,MinSalud,N,N,N,S,S,Error velit magnam facilis laudantium laudantium mollitia. Fuga error modi dicta quasi quidem. Velit pariatur laboriosam placeat quidem cupiditate eum.,San Andrés,Cartagena,S,Old Mutual,919
799226036,S,5,S,N,,,,,,,,Cartagena,Sincelejo,S,Protección,181
862946346,N,0,S,S,MinInterior,N,N,N,S,N,,Cali,Medellín,S,Porvenir,101
799521009,N,0,N,S,Policía,N,N,N,N,N,,Medellín,Cartagena,N,Porvenir,824
661077266,N,0,N,S,Armada,N,N,N,S,N,,Santa Marta,Leticia,N,Colfondos,952
392915233,S,6,S,N,,,,,,,,Santa Marta,Neiva,N,Protección,259
680128745,S,12,S,N,,,,,,,,Armenia,Valledupar,N,Porvenir,120
792287303,S,4,S,N,,,,,,,,Bucaramanga,Risaralda,S,Protección,859
754729893,N,0,S,S,MinInterior,N,N,N,S,N,,Villavicencio,Cali,N,Fondo Extranjero,375
219382575,S,8,N,S,Inpec,S,N,N,S,N,,Villavicencio,Pasto,S,Old Mutual,818
749403398,N,0,N,S,MinSalud,N,N,N,S,N,,Cúcuta,Quibdó,N,Protección,691
710758754,S,4,S,N,,,,,,,,Bogotá,Manizales,N,Colfondos,916
403081311,S,2,N,S,Policía,N,N,N,N,N,,Quibdó,San Andrés,N,Porvenir,738
554732252,S,12,N,N,,,,,,,,Risaralda,Villavicencio,S,Old Mutual,685
997093925,S,10,S,N,,,,,,,,Florencia,Yopal,S,Protección,540
728849769,S,1,S,S,MinInterior,N,N,N,S,S,"Incidunt blanditiis praesentium facere. Facere beatae vitae sequi. Non eum mollitia veritatis molestias omnis.
Ut dolor consequatur porro dolore rem beatae.",Armenia,Florencia,S,Fondo Extranjero,871
604468802,S,11,S,N,,,,,,,,Cúcuta,Pereira,S,Old Mutual,455
289494946,N,0,S,S,MinInterior,N,N,N,S,N,,Riohacha,Santa Marta,N,Old Mutual,687
270067294,N,0,N,S,MinSalud,N,N,N,S,S,"Hic sit sint nobis nemo. Magnam illo accusantium quis veritatis reprehenderit.
Non tempore voluptas nulla veritatis hic a. Non fuga sequi. Doloremque aliquid odit esse iure. Libero fuga illo id ut.",Neiva,Villavicencio,S,Old Mutual,535
