Nombre del Cotizante,Identificación,Fecha de Solicitud,Motivo del Traspaso,Estado de la Solicitud
Jordan Sanchez,749403398,21/11/2024,Fondo con menor riesgo,Generada
Brandon Scott,258463020,21/11/2024,Diversificación de portafolio,Generada
Reginald Perkins,454682579,21/11/2024,Bajo rendimiento del fondo actual,Generada
Courtney Sanders,291823188,21/11/2024,Fondo con menor riesgo,Generada
Denise Watson,799226036,21/11/2024,Fondo con menor riesgo,Generada
Angela Price,540852992,21/11/2024,Mejor servicio de atención al cliente,Generada
Tammy Watson,571100168,21/11/2024,Ajuste de estrategia de inversión,Generada
Tina Coleman,584417835,21/11/2024,Mejor servicio de atención al cliente,Generada
Andrew Morgan,323798008,21/11/2024,Mejor servicio de atención al cliente,Generada
Anthony Brown,799226036,21/11/2024,Fondo con menor riesgo,Generada
Chelsea Cross,387023791,21/11/2024,Fondo con mejores comisiones,Generada
Collin Wilcox,414592555,21/11/2024,Recomendación de asesor financiero,Generada
Kayla Spears,566500573,21/11/2024,Mejor servicio de atención al cliente,Generada
Jillian Pope,240347100,21/11/2024,Ajuste de estrategia de inversión,Generada
Laura Pena,579027732,21/11/2024,Diversificación de portafolio,Generada
Justin Burke,825131044,21/11/2024,Fondo con mejores comisiones,Generada
Randall Miranda,328472421,21/11/2024,Fondo con menor riesgo,Generada
Robert Blankenship,500349766,21/11/2024,Cambio por motivos personales,Generada
Jordan Ayala,954266457,21/11/2024,Cambio a fondo sostenible o responsable,Generada
Joshua Ward,270067294,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Brandon Sullivan,838913691,21/11/2024,Bajo rendimiento del fondo actual,Generada
Kristine Medina,799226036,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
April Owen,551903392,21/11/2024,Bajo rendimiento del fondo actual,Generada
Michael Miller,680128745,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Keith Rodriguez,403081311,21/11/2024,Cambio por motivos personales,Generada
Frederick Powell,165869008,21/11/2024,Bajo rendimiento del fondo actual,Generada
Robert Anderson,799226036,21/11/2024,Bajo rendimiento del fondo actual,Generada
Tracey Jackson,588000839,21/11/2024,Bajo rendimiento del fondo actual,Generada
Heather Wise,790461342,21/11/2024,Recomendación de asesor financiero,Generada
Mark Lopez,453191476,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Francisco Valdez,356399735,21/11/2024,Ajuste de estrategia de inversión,Generada
Tina Griffin,844680146,21/11/2024,Fondo con menor riesgo,Generada
Brandy Franklin,370591097,21/11/2024,Bajo rendimiento del fondo actual,Generada
Alyssa Hunter,511489984,21/11/2024,Fondo con mejores comisiones,Generada
Christine Munoz,811581449,21/11/2024,Cambio por motivos personales,Generada
Candice Stuart,613616124,21/11/2024,Cambio a fondo sostenible o responsable,Generada
Robert Stewart,369245593,21/11/2024,Fondo con mejores comisiones,Generada
Shirley Holland,604468802,21/11/2024,Recomendación de asesor financiero,Generada
Tyrone Bauer,107414510,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Michelle Collins,158450853,21/11/2024,Fondo con mejores comisiones,Generada
Megan Hamilton,569751915,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Sara Hill,387674898,21/11/2024,Cambio a fondo con mayor rentabilidad,Generada
Andrew Roth,392915233,21/11/2024,Fondo con menor riesgo,Generada
April Brown,825131044,21/11/2024,Cambio a fondo sostenible o responsable,Generada
Edgar Jones,387674898,21/11/2024,Diversificación de portafolio,Generada
Karen Davis,386583591,21/11/2024,Mejor servicio de atención al cliente,Generada
James Ford,704404025,21/11/2024,Fondo con mejores comisiones,Generada
Jeffrey Pierce,305170689,21/11/2024,Fondo con menor riesgo,Generada
Kellie Collins,914472772,21/11/2024,Fondo con mejores comisiones,Generada
Mr. Robert Chapman MD,779597511,21/11/2024,Recomendación de asesor financiero,Generada
Gene Holloway,200413448,21/11/2024,Recomendación de asesor financiero,Generada
