Nombre del Cotizante,Identificación,Fecha de Solicitud,Motivo del Traspaso,Estado de la Solicitud
Jordan Sanchez,749403398,21/11/2024,Fondo con menor riesgo,APROBADA
Brandon Scott,258463020,21/11/2024,Diversificación de portafolio,APROBADA
Reginald Perkins,454682579,21/11/2024,Bajo rendimiento del fondo actual,APROBADA
Courtney Sanders,291823188,21/11/2024,Fondo con menor riesgo,RECHAZADA
Denise Watson,799226036,21/11/2024,Fondo con menor riesgo,APROBADA
Angela Price,540852992,21/11/2024,Mejor servicio de atención al cliente,RECHAZADA
Tammy Watson,571100168,21/11/2024,Ajuste de estrategia de inversión,RECHAZADA
Tina Coleman,584417835,21/11/2024,Mejor servicio de atención al cliente,APROBADA
Andrew Morgan,323798008,21/11/2024,Mejor servicio de atención al cliente,RECHAZADA
Anthony Brown,799226036,21/11/2024,Fondo con menor riesgo,APROBADA
Chelsea Cross,387023791,21/11/2024,Fondo con mejores comisiones,APROBADA
Collin Wilcox,414592555,21/11/2024,Recomendación de asesor financiero,RECHAZADA
Kayla Spears,566500573,21/11/2024,Mejor servicio de atención al cliente,APROBADA
Jillian Pope,240347100,21/11/2024,Ajuste de estrategia de inversión,RECHAZADA
Laura Pena,579027732,21/11/2024,Diversificación de portafolio,RECHAZADA
Justin Burke,825131044,21/11/2024,Fondo con mejores comisiones,RECHAZADA
Randall Miranda,328472421,21/11/2024,Fondo con menor riesgo,RECHAZADA
Robert Blankenship,500349766,21/11/2024,Cambio por motivos personales,RECHAZADA
Jordan Ayala,954266457,21/11/2024,Cambio a fondo sostenible o responsable,RECHAZADA
Joshua Ward,270067294,21/11/2024,Cambio a fondo con mayor rentabilidad,APROBADA
Brandon Sullivan,838913691,21/11/2024,Bajo rendimiento del fondo actual,APROBADA
Kristine Medina,799226036,21/11/2024,Cambio a fondo con mayor rentabilidad,APROBADA
April Owen,551903392,21/11/2024,Bajo rendimiento del fondo actual,APROBADA
Michael Miller,680128745,21/11/2024,Cambio a fondo con mayor rentabilidad,RECHAZADA
Keith Rodriguez,403081311,21/11/2024,Cambio por motivos personales,APROBADA
Frederick Powell,165869008,21/11/2024,Bajo rendimiento del fondo actual,RECHAZADA
Robert Anderson,799226036,21/11/2024,Bajo rendimiento del fondo actual,APROBADA
Tracey Jackson,588000839,21/11/2024,Bajo rendimiento del fondo actual,RECHAZADA
